,unsafe_control_action_0,unsafe_control_action_1,equality
787,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU Disarm command is not issued upon successful landing [H-2],False
788,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Hydraulic system remains engaged after command ends [H-3],False
789,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
790,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
791,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU Disarm command is issued before landing completion [H-2],False
792,Autobrake Controller stops providing Brake command too early during landing [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
793,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
794,BSCU Disarm command is issued before landing completion [H-2],BSCU fault falsely triggers emergency protocol [H-2],False
795,BSCU Disarm command is not issued upon successful landing [H-2],Wheel Brakes maintain full pressure post-stop [H-2],True
796,Other subsystems receive erroneous Manual Controls causing hazard [H-6],BSCU Disarm command is issued before landing completion [H-2],False
797,BSCU power does not turn off during system fault [H-2],Wheels provide inaccurate Wheel Speed data [H-6],False
798,BSCU Disarm command is issued before landing completion [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
799,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],True
800,Wheels do not provide feedback for Wheel Speed [H-6],Hydraulic Controller fails to provide adequate pressure [H-3],False
801,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],False
802,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew maintains Manual control state unnecessarily long [H-2],False
803,BSCU power turns off during normal operation [H-2],Autobrake disengages prematurely during emergency braking [H-3],True
804,Hydraulic Controller provides excessive pressure to brakes [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
805,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
806,Flight Crew engages Steering control during high-speed approach [H-6],Hydraulic Controller provides excessive pressure to brakes [H-3],False
807,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew maintains Manual control state unnecessarily long [H-2],False
808,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
809,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
810,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU fault falsely triggers emergency protocol [H-2],False
811,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
812,Autobrake engages without command during manual operation [H-2],Hydraulic system disengages prematurely [H-2],False
813,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",Other subsystems fail to revert to safe state post-anomaly [H-6],True
814,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew maintains Manual control state unnecessarily long [H-2],False
815,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
816,Hydraulic Controller closes valves during critical braking [H-3],BSCU power turns off during normal operation [H-2],False
817,Brake System Control Unit switches to alternate mode without necessity [H-2],BSCU triggers Brake too late after turbulence passes [H-6],False
818,Autobrake Controller does not provide Brake command during emergency landing [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
819,Hydraulic Controller does not open valves during Autobrake mode [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
820,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic Controller does not open valves during Autobrake mode [H-3],True
821,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
822,Hydraulic Controller provides excessive pressure to brakes [H-3],Autobrake deceleration rate set incorrectly [H-1],True
823,Wheel Brakes maintain full pressure post-stop [H-2],Autobrake deceleration rate set incorrectly [H-1],True
824,Flight Crew engages Steering control during high-speed approach [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],True
825,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
826,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU fault signal ignored during landing [H-2],False
827,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
828,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
829,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
830,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
831,Autobrake Controller stops providing Brake command too early during landing [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
832,BSCU engages Autobrake mode during normal taxi [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],True
833,BSCU power does not turn off during system fault [H-2],Autobrake deceleration rate set incorrectly [H-1],False
834,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],True
835,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
836,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU Disarm command is issued before landing completion [H-2],False
837,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU does not engage Autobrake mode when required [H-1],False
838,Autobrake Controller does not provide Brake command during emergency landing [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
839,Autobrake disengages prematurely during emergency braking [H-3],Manual Braking State not entered after system fault detection [H-6],False
840,BSCU Disarm command is not issued upon successful landing [H-2],Hydraulic system disengages prematurely [H-2],True
841,Flight Crew does not engage Steering control during taxi [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
842,Autobrake Controller provides Brake command during takeoff roll [H-3],Other subsystems trigger erroneous state transition [H-6],False
843,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU engages Autobrake mode during normal taxi [H-3],False
844,Flight Crew omits BSCU mode check during pre-flight [H-1],Flight Crew conducts BSCU mode change mid-flight [H-1],False
845,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic Controller provides excessive pressure to brakes [H-3],False
846,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic system disengages prematurely [H-2],False
847,Flight Crew does not engage Steering control during taxi [H-3],Autobrake deceleration rate set incorrectly [H-1],False
848,BSCU power does not turn off during system fault [H-2],Autobrake disengages prematurely during emergency braking [H-3],False
849,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
850,BSCU does not engage Autobrake mode when required [H-1],Flight Crew engages Steering control during high-speed approach [H-6],False
851,BSCU provides Arm and Set command prematurely before required conditions [H-1],Wheel Brakes maintain full pressure post-stop [H-2],False
852,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
853,BSCU does not engage Autobrake mode when required [H-1],BSCU triggers Brake too early upon detecting turbulence [H-6],False
854,Hydraulic Controller closes valves during critical braking [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
855,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU power turns off during normal operation [H-2],False
856,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
857,Autobrake Controller stops providing Brake command too early during landing [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
858,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
859,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Wheels do not provide feedback for Wheel Speed [H-6],True
860,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU power does not turn off during system fault [H-2],False
861,Flight Crew omits BSCU mode check during pre-flight [H-1],Autobrake deceleration rate change too late for necessary correction [H-1],True
862,BSCU triggers Brake too early upon detecting turbulence [H-6],Autobrake engages without command during manual operation [H-2],True
863,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
864,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
865,BSCU power turns off during normal operation [H-2],Flight Crew omits BSCU mode check during pre-flight [H-1],False
866,BSCU provides Arm and Set command too late for takeoff roll [H-1],Autobrake engages without command during manual operation [H-2],False
867,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
868,Wheels provide inaccurate Wheel Speed data [H-6],Autobrake deceleration rate change too late for necessary correction [H-1],False
869,BSCU power turns off during normal operation [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
870,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew applies Reverse thrust during normal landing [H-2],False
871,Manual Braking State not entered after system fault detection [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],True
872,BSCU power turns off during normal operation [H-2],Flight Crew does not engage Steering control during taxi [H-3],False
873,Wheels provide inaccurate Wheel Speed data [H-6],Hydraulic Controller fails to provide adequate pressure [H-3],False
874,Hydraulic Controller closes valves during critical braking [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],True
875,BSCU provides Arm and Set command too late for takeoff roll [H-1],Wheel Brakes maintain full pressure post-stop [H-2],False
876,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
877,Hydraulic Controller does not open valves during Autobrake mode [H-3],Other subsystems trigger erroneous state transition [H-6],False
878,Flight Crew does not engage Steering control during taxi [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
879,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic Controller closes valves during critical braking [H-3],False
880,Manual Braking State not entered after system fault detection [H-6],Hydraulic system remains engaged after command ends [H-3],False
881,BSCU provides Arm and Set command too late for takeoff roll [H-1],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
882,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew engages Steering control during high-speed approach [H-6],False
883,BSCU engages Autobrake mode during normal taxi [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
884,Brake System Control Unit switches to alternate mode without necessity [H-2],Autobrake disengages prematurely during emergency braking [H-3],False
885,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU fault falsely triggers emergency protocol [H-2],False
886,Wheel Brakes provide inconsistent braking power [H-3],Hydraulic system remains engaged after command ends [H-3],True
887,Brake System Control Unit does not switch to alternate braking mode when required [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
888,Flight Crew maintains Manual control state unnecessarily long [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],True
889,BSCU Disarm command is issued before landing completion [H-2],Autobrake deceleration rate set incorrectly [H-1],False
890,Hydraulic Controller does not open valves during Autobrake mode [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
891,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
892,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],False
893,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
894,BSCU power does not turn off during system fault [H-2],Flight Crew does not engage Steering control during taxi [H-3],False
895,Wheel Brakes provide inconsistent braking power [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
896,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew enters Manual control state too late after Autobrake failure [H-3],True
897,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU Disarm command is issued before landing completion [H-2],False
898,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Hydraulic Controller fails to provide adequate pressure [H-3],False
899,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Autobrake deceleration rate set incorrectly [H-1],False
900,BSCU triggers Brake too early upon detecting turbulence [H-6],BSCU fault falsely triggers emergency protocol [H-2],True
901,BSCU provides Arm and Set command too late for takeoff roll [H-1],Autobrake disengages prematurely during emergency braking [H-3],False
902,BSCU power does not turn off during system fault [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
903,BSCU power turns off during normal operation [H-2],Manual Braking State not entered after system fault detection [H-6],False
904,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Manual Braking State not entered after system fault detection [H-6],False
905,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew enters Manual control state too late after Autobrake failure [H-3],False
906,BSCU triggers Brake too late after turbulence passes [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],True
907,BSCU engages Autobrake mode during normal taxi [H-3],BSCU power does not turn off during system fault [H-2],False
908,BSCU Disarm command is not issued upon successful landing [H-2],BSCU Disarm command is issued before landing completion [H-2],False
909,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Flight Crew engages Steering control during high-speed approach [H-6],True
910,BSCU power turns off during normal operation [H-2],Autobrake deceleration rate set incorrectly [H-1],False
911,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",Hydraulic system remains engaged after command ends [H-3],False
912,BSCU engages Autobrake mode during normal taxi [H-3],Autobrake deceleration rate set incorrectly [H-1],False
913,Flight Crew conducts BSCU mode change mid-flight [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
914,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
915,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
916,Hydraulic Controller closes valves during critical braking [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],True
917,BSCU power turns off during normal operation [H-2],BSCU Disarm command is not issued upon successful landing [H-2],True
918,Autobrake deceleration rate set incorrectly [H-1],Manual Braking State not entered after system fault detection [H-6],True
919,Autobrake Controller provides Brake command during takeoff roll [H-3],Wheel Brakes provide inconsistent braking power [H-3],False
920,BSCU power does not turn off during system fault [H-2],Wheels do not provide feedback for Wheel Speed [H-6],False
921,Autobrake Controller does not provide Brake command during emergency landing [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
922,Hydraulic Controller closes valves during critical braking [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
923,Autobrake deceleration rate change too late for necessary correction [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
924,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
925,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Autobrake deceleration rate set incorrectly [H-1],False
926,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
927,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
928,Flight Crew applies Reverse thrust during normal landing [H-2],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
929,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew maintains Manual control state unnecessarily long [H-2],False
930,Flight Crew omits BSCU mode check during pre-flight [H-1],Hydraulic system disengages prematurely [H-2],False
931,BSCU power turns off during normal operation [H-2],Hydraulic system remains engaged after command ends [H-3],False
932,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
933,Hydraulic Controller closes valves during critical braking [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
934,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
935,BSCU does not engage Autobrake mode when required [H-1],BSCU engages Autobrake mode during normal taxi [H-3],False
936,Flight Crew does not engage Steering control during taxi [H-3],Other subsystems trigger erroneous state transition [H-6],False
937,Autobrake Controller provides Brake command during takeoff roll [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
938,Flight Crew maintains Manual control state unnecessarily long [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
939,BSCU Disarm command is issued before landing completion [H-2],Hydraulic Controller provides excessive pressure to brakes [H-3],False
940,Flight Crew omits BSCU mode check during pre-flight [H-1],Wheel Brakes maintain full pressure post-stop [H-2],False
941,Hydraulic Controller does not open valves during Autobrake mode [H-3],Autobrake engages without command during manual operation [H-2],False
942,Flight Crew does not engage Steering control during taxi [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
943,Brake System Control Unit switches to alternate mode without necessity [H-2],BSCU fault signal ignored during landing [H-2],True
944,Autobrake engages without command during manual operation [H-2],Manual Braking State not entered after system fault detection [H-6],True
945,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU power turns off during normal operation [H-2],False
946,Hydraulic Controller closes valves during critical braking [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
947,Hydraulic Controller provides excessive pressure to brakes [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
948,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew maintains Manual control state unnecessarily long [H-2],False
949,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew applies reverse thrust out of sequence [H-6],False
950,Flight Crew conducts BSCU mode change mid-flight [H-1],Autobrake engages without command during manual operation [H-2],True
951,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU power does not turn off during system fault [H-2],False
952,Hydraulic Controller does not open valves during Autobrake mode [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
953,Other subsystems do not receive Manual Controls from Flight Crew [H-6],BSCU fault falsely triggers emergency protocol [H-2],False
954,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
955,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
956,BSCU does not engage Autobrake mode when required [H-1],Wheel Brakes maintain full pressure post-stop [H-2],False
957,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU triggers Brake too late after turbulence passes [H-6],True
958,Hydraulic Controller provides excessive pressure to brakes [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
959,Autobrake Controller stops providing Brake command too early during landing [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
960,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU Disarm command is not issued upon successful landing [H-2],True
961,Manual Braking State not entered after system fault detection [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],True
962,BSCU power turns off during normal operation [H-2],BSCU triggers Brake too early upon detecting turbulence [H-6],False
963,Autobrake deceleration rate set incorrectly [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
964,BSCU Disarm command is not issued upon successful landing [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
965,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Autobrake deceleration rate set incorrectly [H-1],False
966,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Autobrake engages without command during manual operation [H-2],False
967,BSCU triggers Brake too late after turbulence passes [H-6],Hydraulic system remains engaged after command ends [H-3],False
968,Wheel Brakes provide inconsistent braking power [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
969,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
970,Wheels do not provide feedback for Wheel Speed [H-6],Autobrake engages without command during manual operation [H-2],False
971,Wheels do not provide feedback for Wheel Speed [H-6],Flight Crew conducts BSCU mode change mid-flight [H-1],False
972,BSCU Disarm command is issued before landing completion [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
973,BSCU engages Autobrake mode during normal taxi [H-3],BSCU fault signal ignored during landing [H-2],True
974,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic system remains engaged after command ends [H-3],False
975,Autobrake Controller does not provide Brake command during emergency landing [H-3],Autobrake Controller stops providing Brake command too early during landing [H-3],True
976,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew conducts BSCU mode change mid-flight [H-1],False
977,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
978,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic Controller opens valves too early before receiving Brake command [H-3],True
979,BSCU triggers Brake too late after turbulence passes [H-6],Autobrake deceleration rate set incorrectly [H-1],False
980,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU power does not turn off during system fault [H-2],False
981,Flight Crew engages Steering control during high-speed approach [H-6],Autobrake disengages prematurely during emergency braking [H-3],False
982,BSCU does not engage Autobrake mode when required [H-1],Flight Crew conducts BSCU mode change mid-flight [H-1],True
983,Flight Crew maintains Manual control state unnecessarily long [H-2],Wheels do not provide feedback for Wheel Speed [H-6],False
984,BSCU triggers Brake too early upon detecting turbulence [H-6],Flight Crew omits BSCU mode check during pre-flight [H-1],False
985,Flight Crew applies Reverse thrust during normal landing [H-2],Wheels provide inaccurate Wheel Speed data [H-6],False
986,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
987,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic Controller opens valves too early before receiving Brake command [H-3],True
988,Flight Crew does not engage Steering control during taxi [H-3],Hydraulic system disengages prematurely [H-2],False
989,Other subsystems receive erroneous Manual Controls causing hazard [H-6],BSCU triggers Brake too late after turbulence passes [H-6],True
990,Brake System Control Unit switches to alternate mode without necessity [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
991,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
992,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU power turns off during normal operation [H-2],False
993,Flight Crew does not engage Steering control during taxi [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
994,Hydraulic Controller does not open valves during Autobrake mode [H-3],Hydraulic system remains engaged after command ends [H-3],True
995,BSCU power turns off during normal operation [H-2],Wheels do not provide feedback for Wheel Speed [H-6],False
996,Other subsystems trigger erroneous state transition [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
997,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU provides Arm and Set command too late for takeoff roll [H-1],True
998,Other subsystems trigger erroneous state transition [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],True
999,Flight Crew engages Steering control during high-speed approach [H-6],BSCU Disarm command is not issued upon successful landing [H-2],False
1000,Hydraulic Controller fails to provide adequate pressure [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
1001,Wheels provide inaccurate Wheel Speed data [H-6],BSCU triggers Brake too early upon detecting turbulence [H-6],True
1002,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
1003,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
1004,Brake System Control Unit switches to alternate mode without necessity [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1005,Flight Crew engages Steering control during high-speed approach [H-6],Hydraulic system disengages prematurely [H-2],False
1006,Manual Braking State not entered after system fault detection [H-6],BSCU fault signal ignored during landing [H-2],True
1007,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
1008,Autobrake disengages prematurely during emergency braking [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
1009,Autobrake Controller stops providing Brake command too early during landing [H-3],Other subsystems trigger erroneous state transition [H-6],False
1010,Wheel Brakes maintain full pressure post-stop [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
1011,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1012,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
1013,Hydraulic Controller does not open valves during Autobrake mode [H-3],Manual Braking State not entered after system fault detection [H-6],False
1014,BSCU does not engage Autobrake mode when required [H-1],Flight Crew applies Reverse thrust during normal landing [H-2],False
1015,BSCU does not engage Autobrake mode when required [H-1],Flight Crew maintains Manual control state unnecessarily long [H-2],False
1016,BSCU engages Autobrake mode during normal taxi [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
1017,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],True
1018,Hydraulic Controller fails to provide adequate pressure [H-3],Hydraulic system disengages prematurely [H-2],False
1019,Wheels provide inaccurate Wheel Speed data [H-6],Flight Crew does not engage Steering control during taxi [H-3],False
1020,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew conducts BSCU mode change mid-flight [H-1],True
1021,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Autobrake disengages prematurely during emergency braking [H-3],False
1022,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
1023,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
1024,BSCU does not engage Autobrake mode when required [H-1],BSCU power turns off during normal operation [H-2],False
1025,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU power turns off during normal operation [H-2],False
1026,BSCU Disarm command is not issued upon successful landing [H-2],Autobrake engages without command during manual operation [H-2],False
1027,Wheels provide inaccurate Wheel Speed data [H-6],Hydraulic system remains engaged after command ends [H-3],False
1028,Flight Crew does not engage Steering control during taxi [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
1029,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1030,Flight Crew engages Steering control during high-speed approach [H-6],Flight Crew omits BSCU mode check during pre-flight [H-1],False
1031,Manual Braking State not entered after system fault detection [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
1032,BSCU does not engage Autobrake mode when required [H-1],Flight Crew does not utilize Reverse thrust on slippery runway [H-1],False
1033,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Autobrake engages without command during manual operation [H-2],False
1034,Wheels provide inaccurate Wheel Speed data [H-6],Wheel Brakes provide inconsistent braking power [H-3],False
1035,BSCU triggers Brake too early upon detecting turbulence [H-6],Flight Crew conducts BSCU mode change mid-flight [H-1],False
1036,Flight Crew maintains Manual control state unnecessarily long [H-2],Brake System Control Unit switches to alternate mode without necessity [H-2],True
1037,BSCU Disarm command is not issued upon successful landing [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1038,BSCU engages Autobrake mode during normal taxi [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
1039,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU fault falsely triggers emergency protocol [H-2],False
1040,Hydraulic Controller provides excessive pressure to brakes [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
1041,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
1042,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU power does not turn off during system fault [H-2],True
1043,BSCU triggers Brake too early upon detecting turbulence [H-6],Hydraulic system disengages prematurely [H-2],False
1044,BSCU power turns off during normal operation [H-2],Hydraulic Controller fails to provide adequate pressure [H-3],False
1045,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
1046,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Hydraulic system remains engaged after command ends [H-3],False
